Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Quentin Lueck,Merchant Marine,men,d3,2,27,0,1,0,0,0,0,0,0,0,"D, null",Defender,1
Quentin Wertz,Penn St.-Beaver,men,d3,1,90,0,0,0,0,0,0,8,9,0,GK,Goalkeeper,0
Quin Rogers,Michigan,men,d1,1,42,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Quinn Belt,Massachusetts,men,d1,1,81,0,0,0,0,0,0,0,0,1,D,Defender,0
Quinn Bressler,VTSU Lyndon,men,d3,1,90,0,0,0,0,0,0,0,0,2,D,Defender,0
Quinn Conlan,Randolph-Macon,men,d3,1,47,0,0,0,0,1,0,0,0,0,D,Defender,0
Quinn Erb,Elizabethtown,men,d3,1,63,0,0,3,0,0,0,0,0,1,M,Midfielder,0
Quinn Mcinerney,Skidmore,men,d3,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Quinn Muderlak,Air Force,men,d1,1,90,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Quinn O'Hearn,UMass Boston,men,d3,1,35,0,1,1,0,0,0,0,0,0,D,Defender,1
Quinn O'Reilly,Lawrence,men,d3,1,25,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Quinn Pappendick,Middlebury,men,d3,1,36,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Quinn Rabush,Alvernia,men,d3,1,37,0,0,0,0,0,0,0,0,0,D,Defender,0
Quinn Taylor,Bluffton,men,d3,1,16,0,0,0,0,0,0,0,0,0,f,Forward,0
Quinn Tynan,Mt. St. Mary (NY),men,d3,1,90,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Quinten Blair,Saint Louis,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
R King,Paul Smiths,men,d3,1,49,1,0,1,1,0,0,0,0,0,null,Unknown,2
R Piza,LIFE Pacific,men,d3,1,65,0,0,1,0,1,0,0,0,0,null,Unknown,0
Rael Halim,Penn St.-Abington,men,d3,1,65,0,0,0,0,0,0,0,0,0,null,Unknown,0
Rafa Ascencio Garcia,Principia,men,d3,1,16,0,0,0,0,0,0,0,0,0,GK,Goalkeeper,0
Rafael Antonio,Albertus Magnus,men,d3,1,60,0,0,0,0,0,0,0,0,0,F,Forward,0
Rafael Berhanu,Goucher,men,d3,1,46,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Rafael Cervantes Jr.,Beloit,men,d3,1,61,0,0,1,0,0,1,0,0,2,null,Unknown,0
Rafael Galindo,Wis. Lutheran,men,d3,2,113,0,1,4,4,0,0,0,0,2,F,Forward,1
Rafael Gross,UMass Boston,men,d3,1,35,1,0,3,1,0,0,0,0,1,F,Forward,2
Rafael Harron,Me.-Farmington,men,d3,1,41,0,0,0,0,0,0,0,0,0,null,Unknown,0
Rafael Morales,Regis (MA),men,d3,1,9,0,0,0,0,0,0,0,0,0,F,Forward,0
Rafael Ponce De Leon,Northwestern,men,d1,1,90,0,0,0,0,0,0,4,3,0,GK,Goalkeeper,0
Rafael Romero,Great Lake Christian,men,d3,1,40,0,0,0,0,0,0,0,0,0,null,Unknown,0
Raffaele Pisani,Five Towns,men,d3,1,74,0,0,1,0,0,0,0,0,0,D,Defender,0
Rafi Sanjuan,Moravian,men,d3,1,61,0,0,2,1,0,0,0,0,1,M,Midfielder,0
Rahman Abdul Amini-J,WestConn,men,d3,1,10,0,0,1,0,0,0,0,0,0,null,Unknown,0
Raiden Renggli,George Fox,men,d3,1,58,0,0,1,0,0,0,0,0,3,M,Midfielder,0
Randall Ashong,Plattsburgh St.,men,d3,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Ransom Perkins,Allegheny,men,d3,1,57,0,0,0,0,1,0,0,0,0,F,Forward,0
Raphael Kistmann,Kansas City,men,d1,1,20,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Raphael Oppong Owusu,Dartmouth,men,d1,1,55,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Rashaad Ogun,CSU Bakersfield,men,d1,1,14,0,0,0,0,0,0,0,0,1,F,Forward,0
Raul Garcia,Monmouth,men,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Raul Lopez,Alma,men,d3,1,84,0,0,1,1,0,0,0,0,0,M,Midfielder,0
Raul Maldonado,Dean,men,d3,1,63,0,0,1,0,0,0,0,0,0,f,Forward,0
Raul Pineda,FDU-Florham,men,d3,1,20,0,0,0,0,0,0,0,0,0,D,Defender,0
Raul Rivero,LaGrange,men,d3,1,86,0,0,0,0,0,0,0,0,0,D,Defender,0
Ray Fischer,Aurora,men,d3,1,52,0,0,1,1,0,0,0,0,1,D,Defender,0
Ray Weinstein,Curry,men,d3,1,90,0,0,0,0,0,0,0,0,0,m,Midfielder,0
Rayce Welborne,Howard,men,d1,1,83,0,0,0,0,1,1,0,0,5,D,Defender,0
Rayme Nyembwe,Green Bay,men,d1,1,60,0,0,0,0,0,0,0,0,2,D,Defender,0
Raymond Wang,MIT,men,d3,1,14,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Raymundo Mendez,Michigan,men,d1,1,64,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Reaves Debin,U New England,men,d3,1,33,0,0,1,0,0,0,0,0,0,null,Unknown,0
Reed Cash,New Hampshire,men,d1,1,17,0,0,0,0,0,0,0,0,1,M,Midfielder,0
Reed Leidlein,Chapman,men,d3,1,56,1,0,2,1,0,0,0,0,0,D,Defender,2
Reed Pambianco,Me.-Farmington,men,d3,1,67,0,1,1,0,0,0,0,0,0,null,Unknown,1
